date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:40:40	60476/60476	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/index.html	(from )
12:40:40	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:23:12%20GMT	https://byrushan.com/robots.txt		(from )
12:40:41	70815/70815	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Apr%202016%2010:19:09%20GMT	https://byrushan.com/projects/material-admin/app/2.6/vendors/material-design-iconic-font/css/material-design-iconic-font.min.css	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/vendors/material-design-iconic-font/css/material-design-iconic-font.min.css	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:41	57987/57987	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Jul%202018%2022:44:09%20GMT	https://byrushan.com/projects/material-admin/app/2.6/vendors/animate.css/animate.min.css	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/vendors/animate.css/animate.min.css	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:42	22152/22152	---M--	200	added ('OK')	text/css	date:Tue,%2006%20Sep%202016%2004:11:41%20GMT	https://byrushan.com/projects/material-admin/app/2.6/vendors/jquery-scrollbar/jquery.scrollbar.css	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/vendors/jquery-scrollbar/jquery.scrollbar.css	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:42	16140/16140	---M--	200	added ('OK')	text/css	date:Fri,%2011%20Jan%202019%2002:03:31%20GMT	https://byrushan.com/projects/material-admin/app/2.6/vendors/fullcalendar/fullcalendar.min.css	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/vendors/fullcalendar/fullcalendar.min.css	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:43	60476/60476	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/index.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/index-2.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:43	257783/257783	---M--	200	added ('OK')	text/css	date:Sun,%2013%20Jan%202019%2013:02:28%20GMT	https://byrushan.com/projects/material-admin/app/2.6/css/app.min.css	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/css/app.min.css	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:43	47245/47245	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/messages.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/messages.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:43	1904/1904	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Oct%202015%2012:06:02%20GMT	https://byrushan.com/projects/material-admin/app/2.6/demo/img/profile-pics/1.jpg	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/demo/img/profile-pics/1.jpg	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:44	20888/20888	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Oct%202014%2014:45:13%20GMT	https://byrushan.com/projects/material-admin/app/2.6/demo/img/profile-pics/2.jpg	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/demo/img/profile-pics/2.jpg	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:44	19255/19255	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Dec%202014%2020:10:11%20GMT	https://byrushan.com/projects/material-admin/app/2.6/demo/img/profile-pics/3.jpg	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/demo/img/profile-pics/3.jpg	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:44	19370/19370	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Oct%202014%2014:45:37%20GMT	https://byrushan.com/projects/material-admin/app/2.6/demo/img/profile-pics/4.jpg	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/demo/img/profile-pics/4.jpg	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:45	19517/19517	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Oct%202014%2014:45:41%20GMT	https://byrushan.com/projects/material-admin/app/2.6/demo/img/profile-pics/5.jpg	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/demo/img/profile-pics/5.jpg	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:45	19897/19897	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Dec%202014%2020:11:06%20GMT	https://byrushan.com/projects/material-admin/app/2.6/demo/img/profile-pics/8.jpg	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/demo/img/profile-pics/8.jpg	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:45	60520/60520	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/hidden-sidebar.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/hidden-sidebar.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:46	60692/60692	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/boxed-layout.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/boxed-layout.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:46	60684/60684	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/hidden-sidebar-boxed-layout.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/hidden-sidebar-boxed-layout.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:46	53597/53597	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/top-navigation.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/top-navigation.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:46	56242/56242	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/typography.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/typography.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:47	85983/85983	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/widgets.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/widgets.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:47	54710/54710	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/html-table.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/html-table.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:47	62715/62715	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/data-table.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/data-table.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:48	48669/48669	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/form-elements.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/form-elements.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:48	87510/87510	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/form-components.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/form-components.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:48	56772/56772	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/form-layouts.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/form-layouts.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:48	41243/41243	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2013:04:15%20GMT	https://byrushan.com/projects/material-admin/app/2.6/form-validation.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/form-validation.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:49	46070/46070	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/colors.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/colors.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:49	55413/55413	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/css-animations.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/css-animations.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:49	59508/59508	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/buttons.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/buttons.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:50	196762/196762	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/icons.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/icons.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:50	67471/67471	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/listview.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/listview.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:50	42583/42583	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/toolbars.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/toolbars.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:50	55044/55044	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/cards.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/cards.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:51	41291/41291	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/alerts.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/alerts.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:51	39779/39779	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/badges.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/badges.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:51	37175/37175	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/breadcrumbs.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/breadcrumbs.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:52	36169/36169	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/jumbotron.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/jumbotron.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:52	48804/48804	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/navs.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/navs.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:52	43959/43959	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/pagination.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/pagination.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:52	41823/41823	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/progress.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/progress.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:52	43827/43827	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/carousel.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/carousel.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:53	43489/43489	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/collapse.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/collapse.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:53	66283/66283	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/dropdowns.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/dropdowns.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:53	54772/54772	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/modals.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/modals.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:54	38992/38992	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/popover.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/popover.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
12:40:54	56585/56585	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Jan%202019%2011:28:35%20GMT	https://byrushan.com/projects/material-admin/app/2.6/tabs.html	D:/Applcation/pc/books/website/https___byrushan.com_projects_material-admin_app_2.6_/byrushan.com/projects/material-admin/app/2.6/tabs.html	(from https://byrushan.com/projects/material-admin/app/2.6/)
